,Edge_start,Edge_end,Capacity
872,18838o,32003i,10
873,66050o,280397i,10
874,56903i,56903o,10
875,20503o,23101i,10
876,16139o,16188i,10
877,19190i,19190o,10
878,32706o,21428i,10
879,27201i,27201o,10
880,8086i,8086o,10
881,13904o,14043i,10
882,28969o,29108i,10
883,29645o,30601i,10
884,80630o,81208i,10
885,262848i,262848o,10
886,51946i,51946o,10
887,56408o,57703i,10
888,26104o,30601i,10
889,80416o,79905i,10
890,71407o,62802i,10
891,54908o,57703i,10
892,32359i,32359o,10
893,64808o,63552i,10
894,40030o,50609i,10
895,851o,13334i,10
896,8151o,7872i,10
897,7112o,8474i,10
898,61341i,61341o,10
899,29108o,29223i,10
900,33191o,33100i,10
901,24802o,24893i,10
902,43406o,42606i,10
903,45401o,45617i,10
904,1024o,1560i,10
905,79657o,80630i,10
906,69203o,76000i,10
907,38885o,38653i,10
908,32904o,34603i,10
909,73106o,69823i,10
910,77503o,77834i,10
911,60608o,61705i,10
912,82446o,82404i,10
913,65029i,65029o,10
914,45476o,45401i,10
915,39321i,39321o,10
916,82099o,82586i,10
917,65532o,65466i,10
918,30122o,30007i,10
919,48504o,264970i,10
920,84434o,84400i,10
921,59105o,58651i,10
922,60103o,58974i,10
923,80986o,80630i,10
924,74583o,74633i,10
925,59675o,44008i,10
926,59105o,59576i,10
927,39974o,40030i,10
928,60400i,60400o,10
929,33605o,33506i,10
930,56697i,56697o,10
931,47886o,47704i,10
932,77107o,77834i,10
933,46805o,46789i,10
934,32201o,19174i,10
935,82552i,82552o,10
936,66589o,280397i,10
937,39008i,39008o,10
938,3517i,3517o,10
939,4135i,4135o,10
940,56523o,57307i,10
941,49809o,39321i,10
942,58784o,58651i,10
943,81208o,81232i,10
944,75309o,64808i,10
945,48009o,48231i,10
946,50484o,50666i,10
947,82669o,261251i,10
948,69823i,69823o,10
949,53009o,60103i,10
950,29108o,30601i,10
951,65904i,65904o,10
952,22442o,36103i,10
953,279919o,24430i,10
954,50666o,50807i,10
955,10603i,10603o,10
956,27805i,27805o,10
957,32003o,18838i,10
958,60608i,60608o,10
959,45682o,45617i,10
960,18408o,7112i,10
961,68700o,67009i,10
962,81679i,81679o,10
963,19174o,19190i,10
964,81125o,81067i,10
965,27300i,27300o,10
966,3905o,3004i,10
967,1008o,1024i,10
968,46565i,46565o,10
969,84400i,84400o,10
970,83022o,83220i,10
971,21204o,20909i,10
972,36103o,75309i,10
973,15602o,15529i,10
974,76109i,76109o,10
975,29405o,29181i,10
976,32540o,46805i,10
977,7500o,38653i,10
978,65029o,65003i,10
979,15602o,8904i,10
980,22202o,9456i,10
981,63073i,63073o,10
982,5256i,5256o,10
983,80630o,79657i,10
984,45401o,61341i,10
985,14514i,14514o,10
986,3509o,3632i,10
987,254539o,66050i,10
988,75424o,75309i,10
989,20909o,20743i,10
990,17202i,17202o,10
